country,job_title,company_name,location,job_url,job_description
Belgium,AI Infrastructure Engineer,,,https://www.linkedin.com/jobs/view/4325608563/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=xiX8zDA5vDww%2B9HE3nyxHg%3D%3D&trackingId=1Z5QfNtyvAMazlWtPDEZjw%3D%3D&trk=flagship3_search_srp_jobs,"You will work closely with ML engineers, data scientists, and DevOps teams to ensure scalable, high-performance, and reliable AI pipelines.
Responsibilities
Design, deploy, and maintain GPU/TPU clusters, high-performance computing systems, and cloud infrastructure for AI workloads.
… more"
Belgium,Freelance AI Engineer,,,https://www.linkedin.com/jobs/view/4364579560/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=xiX8zDA5vDww%2B9HE3nyxHg%3D%3D&trackingId=fXRKkiJsv2lnbx8yUdja1g%3D%3D&trk=flagship3_search_srp_jobs,"Join a dynamic project supporting a leading European AI company in building and maintaining advanced large language model (LLM) inference platforms for enterprise and government clients. This role focuses on ensuring the reliability, scalability, and performance of LLM inference services, with a strong emphasis on Kubernetes-based orchestration and modern cloud infrastructure. You will collaborate with cross-functional teams to integrate, operate, and optimize LLM inference APIs, playing a key part in the delivery of robust AI solutions at scale.

Twine is a leading freelance marketplace connecting top freelancers, consultants, and contractors with companies needing creative and tech expertise. Trusted by Fortune 500 companies and innovative startups alike, Twine enables companies to scale their teams globally.

Twine's mission is to empower creators and businesses to thrive in an AI-driven, freelance-first world.
… more"
Belgium,AI Engineer Intern,,,https://www.linkedin.com/jobs/view/4372613845/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=xiX8zDA5vDww%2B9HE3nyxHg%3D%3D&trackingId=VHv8prRnd516HWRE9lH%2B7Q%3D%3D&trk=flagship3_search_srp_jobs,"Introduction

During your internship, you can enhance your knowledge and gain professional experience by working on client projects. This role provides an exceptional opportunity to build a compelling portfolio, acquire new skills, gain insights into diverse industries, and embrace novel challenges for your future career.

At IBM, we prioritize continuous learning, skill development, and personal growth within a culture of coaching and mentorship. As an intern, you'll experience this culture and have the opportunity to advance to our associate program based on results and performance.

We are looking for an AI Engineer Intern to join our team and contribute to the enhancement of our internal benchmark tool. During this internship, the candidate will design, develop, and integrate new AI‑driven features into the platform. The intern will work on features end‑to‑end, from ideation to implementation and testing, and will collaborate closely with experienced professionals who will provide guidance throughout the process.

In addition to your technical skills, we would like you to have motivation to grow and good communication skills.

If you have any questions about the position, please feel free to contact Orsi Veres at Orsi.Veres@ibm.com. Once you have clicked 'apply now', you can upload your CV. Then the recruitment process begins.
… more"
Belgium,Artificial Intelligence Engineer,,,https://www.linkedin.com/jobs/view/4373743876/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=xiX8zDA5vDww%2B9HE3nyxHg%3D%3D&trackingId=qHg2hKssHySeuQamaccUAA%3D%3D&trk=flagship3_search_srp_jobs,"Our client is a dynamic startup based in the USA, led by visionary serial entrepreneurs with a successful track record of exits to Fortune 500 companies.
Why Join Us?
We believe that great talent thrives in an environment of trust and autonomy. Our culture is built on transparency, encouraging open communication and collaboration to achieve common goals without micromanagement.
… more"
Belgium,Junior AI Engineer (Private Banking Innovation),,,https://www.linkedin.com/jobs/view/4347334698/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=xiX8zDA5vDww%2B9HE3nyxHg%3D%3D&trackingId=xjfHKlykElYJrae7UL27AQ%3D%3D&trk=flagship3_search_srp_jobs,"Junior AI Engineer (Private Banking Innovation)
📍 Antwerpen – Hybride
📄 Vaste functie (geen freelance) –
💼 Projective Talent | Part of Projective Group
… more"
Netherlands,AI Infrastructure Engineer,,,https://www.linkedin.com/jobs/view/4325608563/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=XLVaYjWgWmT2L7cvP3SXsQ%3D%3D&trackingId=KUnw45sS%2FsHvYNjr4ARIIQ%3D%3D&trk=flagship3_search_srp_jobs,"You will work closely with ML engineers, data scientists, and DevOps teams to ensure scalable, high-performance, and reliable AI pipelines.
Responsibilities
Design, deploy, and maintain GPU/TPU clusters, high-performance computing systems, and cloud infrastructure for AI workloads.
… more"
Netherlands,Freelance AI Engineer,,,https://www.linkedin.com/jobs/view/4364579560/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=XLVaYjWgWmT2L7cvP3SXsQ%3D%3D&trackingId=FQMdiyzWMySOEwsPNdGS5Q%3D%3D&trk=flagship3_search_srp_jobs,"Join a dynamic project supporting a leading European AI company in building and maintaining advanced large language model (LLM) inference platforms for enterprise and government clients. This role focuses on ensuring the reliability, scalability, and performance of LLM inference services, with a strong emphasis on Kubernetes-based orchestration and modern cloud infrastructure. You will collaborate with cross-functional teams to integrate, operate, and optimize LLM inference APIs, playing a key part in the delivery of robust AI solutions at scale.

Twine is a leading freelance marketplace connecting top freelancers, consultants, and contractors with companies needing creative and tech expertise. Trusted by Fortune 500 companies and innovative startups alike, Twine enables companies to scale their teams globally.

Twine's mission is to empower creators and businesses to thrive in an AI-driven, freelance-first world.
… more"
Netherlands,Artificial Intelligence Engineer,,,https://www.linkedin.com/jobs/view/4373743876/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=XLVaYjWgWmT2L7cvP3SXsQ%3D%3D&trackingId=FfYz6ispSZTfCnELqp%2BUyg%3D%3D&trk=flagship3_search_srp_jobs,"Our client is a dynamic startup based in the USA, led by visionary serial entrepreneurs with a successful track record of exits to Fortune 500 companies.
Why Join Us?
We believe that great talent thrives in an environment of trust and autonomy. Our culture is built on transparency, encouraging open communication and collaboration to achieve common goals without micromanagement.
… more"
Netherlands,AI Engineer Associate,,,https://www.linkedin.com/jobs/view/4372628267/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=XLVaYjWgWmT2L7cvP3SXsQ%3D%3D&trackingId=WvuQ2xFFEOe2gfWqyqmcIA%3D%3D&trk=flagship3_search_srp_jobs,"Introduction

In this role, you'll work in one of our IBM Consulting Client Innovation Centers (Delivery Centers), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology.

We focus on your professional development through ongoing learning, mentorship, development of technical skills, and continuous personal growth, all grounded in a culture of coaching and career advancement. If you see yourself as someone who never stops learning and who wants to unleash your potential, the IBM Consulting Associates Program is for you.

A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe.

You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio; including Software and Red Hat.

Curiosity and a constant quest for knowledge serve as the foundation to success in IBM Consulting. In your role, you'll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions resulting in ground breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience.

As an associate level AI Engineer at IBM, you will combine cutting-edge artificial intelligence technologies with modern cloud-native development practices to deliver innovative software solutions. You will work within cross-functional teams and contribute to the design and implementation of ML/AI solutions.

… more"
Netherlands,Applied AI Engineer - LLM & NLP,,,https://www.linkedin.com/jobs/view/4366156241/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=XLVaYjWgWmT2L7cvP3SXsQ%3D%3D&trackingId=aavszbz%2F76gyyYdpCTnmAA%3D%3D&trk=flagship3_search_srp_jobs,"At Toku, we create bespoke cloud communications and customer engagement solutions to reimagine customer experiences for enterprises. We provide an end-to-end approach to help businesses overcome the complexity of digital transformation and deliver mission-critical CX through cloud communication solutions. Toku combines local strategic consulting expertise, bespoke technology, regional in-country infrastructure, connectivity, and global reach to serve the diverse needs of enterprises operating at scale. Headquartered in Singapore, Toku supports customers across APAC and beyond, with a growing footprint across global markets.
… more"
